id	name	english name	main category	iLvl	groups
1565454583	皮帽	Leather Hood	helm	7	armors,helm,helms
1565454584	锁子兜帽	Coif	helm	12	armors,helm,helms
1565454585	战斗头罩	Arming Cap	helm	18	armors,helm,helms
120393850	链甲头罩	Chain Hood	helm	21	armors,helm,helms
1565454586	头盔	Helmet	helm	24	armors,helm,helms
1565454587	板甲头盔	Plated Helm	helm	30	armors,helm,helms
1565455671	皇冠	Crown	helm	34	armors,helm,helms
1565455672	轻钢盔	Basinet	helm	38	armors,helm,helms
1565455673	护面甲	Klappvisier	helm	42	armors,helm,helms
1565455674	诺曼战盔	Casque	helm	46	armors,helm,helms
1565455675	巨型战盔	Great Helm	helm	51	armors,helm,helms
1565456760	犬面铁盔	Hounskull	helm	55	armors,helm,helms
1565456761	骑士重盔	Stechhelm	helm	58	armors,helm,helms
1565456762	铁骑头甲	Zischagge	helm	60	armors,helm,helms
1565456763	地狱恐面	Hellscape Mask	helm	61	armors,helm,helms
1565456764	君王面甲	Sovereign Helm	helm	62	armors,helm,helms
1565456765	御法者之冠	Archon Crown	helm	63	armors,helm,helms
1565456766	拉基斯守护头盔	Rakkisgard Helm	helm	65	armors,helm,helms
1565456767	升灵头冠	Ascended Crown	helm	70	armors,helm,helms
1612257704	布衫	Cloth Tunic	chestarmor	1	armors,chestarmor,chestarmors
1612257705	皮背心	Leather Doublet	chestarmor	6	armors,chestarmor,chestarmors
1664896810	皮质短衣	Hide Tunic	chestarmor	8	armors,chestarmor,chestarmors
1612257706	锁子铠	Brigandine Coat	chestarmor	11	armors,chestarmor,chestarmors
1612257707	锁子甲	Chain Mail	chestarmor	17	armors,chestarmor,chestarmors
1612257708	板条甲胄	Splint Cuirass	chestarmor	23	armors,chestarmor,chestarmors
1664896909	束条胸甲	Banded Cuirass	chestarmor	26	armors,chestarmor,chestarmors
1612257709	板条锁甲	Plate Mail	chestarmor	29	armors,chestarmor,chestarmors
1612258793	幽冥束衣	Stygian Harness	chestarmor	33	armors,chestarmor,chestarmors
1612258794	蚀刻夹克	Etched Jacket	chestarmor	38	armors,chestarmor,chestarmors
1612258795	鱼鳞锁甲	Jazeraint Mail	chestarmor	43	armors,chestarmor,chestarmors
1612258796	战斗胸甲	Battle Armor	chestarmor	47	armors,chestarmor,chestarmors
1612258797	骨织锁子甲	Boneweave Hauberk	chestarmor	51	armors,chestarmor,chestarmors
1612259882	炎魔胸甲	Balor Armor	chestarmor	55	armors,chestarmor,chestarmors
1612259883	星界锁甲	Astral Mail	chestarmor	58	armors,chestarmor,chestarmors
1612259884	战狂板甲	Warlord Plate	chestarmor	60	armors,chestarmor,chestarmors
1612259885	末日胸甲	Doom Armor	chestarmor	61	armors,chestarmor,chestarmors
1612259886	君王锁甲	Sovereign Mail	chestarmor	62	armors,chestarmor,chestarmors
1612259887	御法者护甲	Archon Armor	chestarmor	63	armors,chestarmor,chestarmors
1612259888	拉基斯守护胸甲	Rakkisgard Armor	chestarmor	65	armors,chestarmor,chestarmors
1612259889	升灵胸甲	Ascended Armor	chestarmor	70	armors,chestarmor,chestarmors
2761052992	手套	Gloves	gloves	2	armors,gloves
2761052993	皮手套	Leather Gloves	gloves	6	armors,gloves
2761052994	兽皮手套	Hide Gloves	gloves	12	armors,gloves
2761052995	锁链手套	Chain Gloves	gloves	18	armors,gloves
920435716	藤甲手套	Splint Mail Gloves	gloves	21	armors,gloves
2761052996	护手	Gauntlets	gloves	24	armors,gloves
2761052997	板甲护手	Plated Gauntlets	gloves	30	armors,gloves
2761054081	护指	Grips	gloves	34	armors,gloves
2761054082	蚀刻手套	Etched Gloves	gloves	38	armors,gloves
2761054083	前臂甲	Vambraces	gloves	42	armors,gloves
2761054084	战斗护手	Battle Gauntlets	gloves	46	armors,gloves
2761054085	骨织护手	Boneweave Gauntlets	gloves	51	armors,gloves
2761055170	炎魔手套	Balor Fists	gloves	55	armors,gloves
2761055171	裹手甲	Manifers	gloves	58	armors,gloves
2761055172	战狂护手	Warlord Gauntlets	gloves	60	armors,gloves
2761055173	扼息护手	Stranglers	gloves	61	armors,gloves
2761055174	君王前臂甲	Sovereign Vambraces	gloves	62	armors,gloves
2761055175	御法者护手	Archon Gauntlets	gloves	63	armors,gloves
2761055176	拉基斯守护护手	Rakkisgard Gauntlets	gloves	65	armors,gloves
2761055177	升灵护手	Ascended Gauntlets	gloves	70	armors,gloves
2140880151	便鞋	Shoes	boots	3	armors,boots
2140880152	短靴	Boots	boots	7	armors,boots
2140880153	重靴	Heavy Boots	boots	13	armors,boots
2140880154	锁链靴	Chain Boots	boots	19	armors,boots
2140880155	钢靴	Sabatons	boots	25	armors,boots
2140880156	护胫	Greaves	boots	29	armors,boots
2140881240	缠丝靴	Silk Shoes	boots	33	armors,boots
2140881241	硬皮靴	Brogans	boots	38	armors,boots
2140881242	步行靴	Treads	boots	43	armors,boots
2140881243	重型钢靴	Heavy Sabatons	boots	47	armors,boots
2140881244	战斗护胫	Battle Greaves	boots	51	armors,boots
2140882329	炎魔之蹄	Balor Treads	boots	55	armors,boots
2140882330	星界护胫	Astral Greaves	boots	58	armors,boots
2140882331	战狂之靴	Warlord Boots	boots	60	armors,boots
2140882332	末日足履	Doom Treads	boots	61	armors,boots
2140882333	君王护胫	Sovereign Greaves	boots	62	armors,boots
2140882334	御法者护胫	Archon Greaves	boots	63	armors,boots
2140882335	拉基斯守护护胫	Rakkisgard Greaves	boots	65	armors,boots
2140882336	升灵长靴	Ascended Greaves	boots	70	armors,boots
365490250	皮制罩肩	Leather Mantle	shoulders	13	armors,shoulders
365490251	护肩	Shoulder Guards	shoulders	18	armors,shoulders
365490252	护肩套	Amice	shoulders	22	armors,shoulders
365490253	肩甲	Spaulders	shoulders	26	armors,shoulders
365490254	板甲护肩	Shoulder Plates	shoulders	30	armors,shoulders
365491338	蚀刻罩肩	Etched Mantle	shoulders	34	armors,shoulders
365491339	护肩甲	Ailettes	shoulders	38	armors,shoulders
365491340	肩铠	Pauldrons	shoulders	42	armors,shoulders
365491341	叠铠肩甲	Sode	shoulders	46	armors,shoulders
365491342	肩饰	Epaulets	shoulders	51	armors,shoulders
365492427	炎魔肩铠	Balor Pauldrons	shoulders	55	armors,shoulders
365492428	密棘肩甲	Espaliers	shoulders	58	armors,shoulders
365492429	战狂肩甲	Warlord Spaulders	shoulders	60	armors,shoulders
365492430	末日肩铠	Doom Pauldrons	shoulders	61	armors,shoulders
365492431	大披肩	Pallium	shoulders	62	armors,shoulders
365492432	御法者肩甲	Archon Spaulders	shoulders	63	armors,shoulders
365492433	拉基斯守护肩铠	Rakkisgard Pauldrons	shoulders	65	armors,shoulders
365492434	升灵护肩	Ascended Pauldrons	shoulders	70	armors,shoulders
3561135927	裹腰	Sash	belt	3	armors,belt,belts
3561135928	兽皮带	Hide Belt	belt	7	armors,belt,belts
3561135929	皮带	Leather Belt	belt	12	armors,belt,belts
3561135930	缠腰	Cord	belt	17	armors,belt,belts
3561135931	腰绳	Binding Rope	belt	22	armors,belt,belts
3561135932	腰链	Chain Belt	belt	27	armors,belt,belts
3561137016	丝质腰带	Silk Sash	belt	32	armors,belt,belts
3561137017	腰裹	Waistwrap	belt	37	armors,belt,belts
3561137018	束腰	Strand	belt	42	armors,belt,belts
3561137019	腰封	Cupola	belt	47	armors,belt,belts
3561137020	肚带	Cinch	belt	51	armors,belt,belts
3561138105	束带	Grasp	belt	55	armors,belt,belts
3561138106	腰束	Sheath	belt	58	armors,belt,belts
3561138107	腰环	Cincture	belt	60	armors,belt,belts
3561138108	护腰	Girdle	belt	61	armors,belt,belts
3561138109	天堂腰带	Heaven Strand	belt	62	armors,belt,belts
3561138110	高阶腰带	High Scabbard	belt	63	armors,belt,belts
3561138111	战争腰带	War Belt	belt	65	armors,belt,belts
3561138112	统御者腰带	Archon Sash	belt	70	armors,belt,belts
2112155406	战士腰带	Warrior Belt	belt	10	armors,belts,mightybelt
2112155407	腰垫	Harness	belt	12	armors,belts,mightybelt
2112155408	北地杂织	Braid	belt	20	armors,belts,mightybelt
2112155409	大型腰带	Grand Belt	belt	28	armors,belts,mightybelt
981651858	黑铁腰带	Black Iron Belt	belt	32	armors,belts,mightybelt
2112156495	斜挎腰饰	Baldric	belt	36	armors,belts,mightybelt
2112156496	刀锋腰垫	Blade Harness	belt	40	armors,belts,mightybelt
2112156497	铁质织物	Iron Braid	belt	46	armors,belts,mightybelt
2112156498	钢铁腰链	Steel Chain	belt	52	armors,belts,mightybelt
2112157584	扣带	Lock	belt	56	armors,belts,mightybelt
2112157585	青铜链环	Bronze Links	belt	60	armors,belts,mightybelt
2112157586	重型腰饰	Heavy Baldric	belt	61	armors,belts,mightybelt
2112157587	宏伟腰链	Grand Chain	belt	62	armors,belts,mightybelt
2112157588	白金扣带	Platinum Lock	belt	65	armors,belts,mightybelt
2112157589	鞭笞大腰带	Mighty Scourge	belt	70	armors,belts,mightybelt
2782235158	布裤	Cloth Pants	pants	2	armors,pants
2782235159	皮裤	Leather Pants	pants	6	armors,pants
1619447128	粗制兽皮护腿	Rough Hide Leggings	pants	8	armors,pants
2782235160	兽皮马裤	Hide Breeches	pants	11	armors,pants
2782235161	锁甲护腿	Chain Leggings	pants	16	armors,pants
2782235162	护腿甲	Faulds	pants	21	armors,pants
2782235163	板甲护腿	Plate Leggings	pants	26	armors,pants
2782236247	裹腿	Legwraps	pants	32	armors,pants
2782236248	蚀刻长裤	Etched Pants	pants	37	armors,pants
2782236249	马裤	Chausses	pants	42	armors,pants
2782236250	长腿甲	Tassets	pants	47	armors,pants
2782236251	骨织护腿甲	Boneweave Faulds	pants	51	armors,pants
2782237336	护腿	Leg Guards	pants	55	armors,pants
2782237337	护膝甲	Poleyns	pants	58	armors,pants
2782237338	战狂腿铠	Warlord Leg Plates	pants	60	armors,pants
2782237339	护胫甲	Schynbalds	pants	61	armors,pants
2782237340	君王长腿甲	Sovereign Tassets	pants	62	armors,pants
2782237341	御法者护腿甲	Archon Faulds	pants	63	armors,pants
2782237342	拉基斯守护腿甲	Rakkisgard Leg Plates	pants	65	armors,pants
2782237343	升灵腿甲	Ascended Faulds	pants	70	armors,pants
3419022418	护腕	Bracers	bracers	5	armors,bracers
3419022419	皮制束腕	Leather Cuffs	bracers	10	armors,bracers
3419022420	绑腕	Bindings	bracers	15	armors,bracers
3419022421	前臂甲	Vambraces	bracers	20	armors,bracers
3419022422	手环	Bracelets	bracers	25	armors,bracers
3419022423	锁甲手带	Mail Bands	bracers	30	armors,bracers
3419023507	裹腕	Wristwraps	bracers	34	armors,bracers
3419023508	腕套	Wristbands	bracers	38	armors,bracers
3419023509	固腕	Stabilizers	bracers	42	armors,bracers
3419023510	腕甲	Wristguards	bracers	46	armors,bracers
3419023511	腕铠	Wristplates	bracers	51	armors,bracers
3419024596	束臂	Armwraps	bracers	55	armors,bracers
3419024597	护臂	Armbands	bracers	58	armors,bracers
3419024598	战斗护腕	Warbands	bracers	60	armors,bracers
3419024599	臂甲	Armguards	bracers	61	armors,bracers
3419024600	臂铠	Armplates	bracers	62	armors,bracers
3419024601	刀刺手环	Razorspikes	bracers	63	armors,bracers
3419024602	拉基斯守护腕甲	Rakkisgard Bracers	bracers	65	armors,bracers
3419024603	升灵护腕	Ascended Bracers	bracers	70	armors,bracers
1815806857	圆盾	Buckler	shield	1	offhands,shield
1815806858	重圆盾	Targe Shield	shield	6	offhands,shield
1815806859	斗盾	Heater Shield	shield	11	offhands,shield
1815806860	鸢盾	Kite Shield	shield	16	offhands,shield
1815806861	大盾牌	Large Shield	shield	21	offhands,shield
1815806862	哥特盾	Gothic Shield	shield	25	offhands,shield
1815806863	塔盾	Tower Shield	shield	28	offhands,shield
1815807946	硬皮盾	Pelta	shield	31	offhands,shield
1815807947	装饰盾牌	Rondache	shield	35	offhands,shield
1815807948	骑士盾	Knight Shield	shield	39	offhands,shield
