SNO	Code	Name	Description
301247	_x1_PandExt_Ideation_War_Spawner_Angel		
301248	_x1_PandExt_Ideation_War_Spawner_Demon		
285955	_x1westm_ideation_event_RATZNGGOLD		鼠疫下水道通风口
199789	1000MonsterFight_Meteor	手雷	掷出三枚手雷，爆炸造成 {Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] 点伤害。
108017	a1dun_Leor_BigFireGrate		
175159	a1dun_Leor_Fire_Gutter_fire		
441108	a1dun_Leor_Hallway_Blade_Trap	处决者之刃	处决者之刃
89418	a1dun_leoric_fireTrench		
90428	a1dun_leoric_fireTrench_01		
112259	a1dun_leoric_fireTrench_02		
153000	A2_Evacuation_BelialBomb	彼列火焰弹	掷出三枚手雷，爆炸造成 {Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] 点伤害。
396386	a2dun_Aqd_Act_Wood_Platform_Damage	trdun_cath_wallcollapse_damage	
175069	a2dun_Cave_Goatmen_Dropping_Log_Trap_attack	cave_goatmen_logtrap	
206565	a2dun_Cave_Larva	洞穴幼虫	
189864	a2dun_Cave_Larva_AOE	a2dun_cave_larva_aoe	
114308	a2dun_Cave_SlimeGeyser_A	泥浆喷泉	
223739	a2dun_Zolt_Tesla_Tower_Cold_spawnAttack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
29983	a2dun_Zolt_Tesla_Tower_Fire		炙热石碑
223738	a2dun_Zolt_Tesla_Tower_Fire_spawnAttack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
29984	a2dun_Zolt_Tesla_Tower_IceNova		
174642	a2dun_Zolt_Tesla_Tower_Lightning_pewpew	a2dun_zolt_tesla_tower_lightning_pewpew_	
223731	a2dun_Zolt_Tesla_Tower_Lightning_spawnAttack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
223740	a2dun_Zolt_Tesla_Tower_Poison_spawnAttack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
174905	a3_battlefield_demonic_forge	恶魔锻炉	
122327	A3_Battlefield_DemonMine_AOE	a3_battlefield_demonmine_aoe	
180931	a3dun_bastionKeepGuard_FireAtNothing		
123043	a3dun_crater_Demon_GroundTrap_GasChamber	烈焰之室	恶魔陷阱
212330	a3dun_crater_Demon_GroundTrap_GasChamber_FireOnly	烈焰之室火焰	
162328	a3dun_crater_DemonClawBomb_A	a3dun_crater_demonclawbomb_a	
206575	a3dun_Crater_DemonClawBomb_A_trigger	恶魔之爪炸弹A	
55014	a3dun_Keep_Barrel_Stack_Short_Damage		
186638	a3dun_Keep_Exploding_Barrel_Stun_power		
200051	a3dun_keep_fireTrench_01		
200038	a3dun_keep_fireTrench_02		
244155	A3Intro_CatapultAttack		
188960	a4dun_Garden_Corruption_Mine	腐化物地雷	
223721	a4dun_Heaven_HellRift_FallingRocks_A	屋顶塌陷	
223722	a4dun_Heaven_HellRift_FallingRocks_B	屋顶塌陷	
223286	a4Dun_HellFissure	地狱裂隙	
219695	a4dun_Spire_CorruptionGeyser	a4dun_spire_corruptiongeyser	
223284	a4dun_spire_firewall	烈焰之墙怪物	
220634	a4dun_spire_Spike_Trap		
93716	ActorDisabledBuff		
224639	ActorGhostedBuff		
220304	ActorInTownBuff		
439438	ActorInvulBuff		
212032	ActorLoadingBuff		
199222	Adria_event47_blast	麦格妲护盾	
199198	Adria_event47_projectile	麦格妲护盾	
313697	AI_Backpedal		
327537	AI_Backpedal_OneShotThroughActors		
29986	AI_Circle		
29987	AI_Circle_Long		
29989	AI_Circle_Strafe		
29988	AI_Circle_Strafe_Short		
29990	AI_Close		
29991	AI_Close_Long		
29992	AI_EscortFollow		
29993	AI_Follow		
29995	AI_Follow_Close		
104514	AI_Follow_MeleeLead		
231004	AI_Follow_MeleeLead_Pet		
29994	AI_FollowPath		
1728	AI_FollowWithWalk		
29996	AI_Idle		
29997	AI_Idle_Long		
29998	AI_Idle_Short		
55433	AI_Orbit		
193411	AI_ReturnToGuardObject		
30000	AI_ReturnToPath		
30001	AI_RunAway		
30002	AI_RunAway_Long		!!Missing!! - Powers:AI_RunAway_Long_desc
30003	AI_RunAway_Short		
410363	AI_RunAway_Short_V2		
30004	AI_RunInFront		
163339	AI_RunInFront_Guaranteed		
30005	AI_RunNearby		
30006	AI_RunNearby_Gloam		
30007	AI_RunNearby_Long		
30008	AI_RunNearby_Short		
30009	AI_RunTo		
163338	AI_RunTo_Guaranteed		
376110	AI_RunTo_Guaranteed_Spider		
163336	AI_SprintInFront_Guaranteed		
82805	AI_SprintTo		
163335	AI_SprintTo_Guaranteed		
30010	AI_Strafe		
217618	AI_TownWalkTo_Guaranteed		
30012	AI_WalkInFront		
163334	AI_WalkInFront_Guaranteed		
30013	AI_WalkTo		
163333	AI_WalkTo_Guaranteed		
1729	AI_Wander		
30015	AI_Wander_Long		
30016	AI_Wander_superLong		
30014	AI_WanderRun		
114421	AI_WarnOthers		
99543	AIEvadeBuff	闪避增益效果	
106281	AncientSpearKnockback		
440446	Angel_Corrupt_PiercingDash		
311167	Anniversary_Buff_EXPMF		
30020	Axe Bad Data		斧头损坏数据
30021	Axe_Operate_Gizmo		
30022	Axe_Operate_NPC		
123199	Azmodan_AOD_Damage		
122700	Azmodan_FallingCorpses	阿兹莫丹尸雨	
122699	Azmodan_GlobeOfAnnihilation	湮灭之球	一个与目标接触即爆炸的纯净能量之球，对位于 {c_green}{script formula 5} 码{/c_green}内的所有敌人造成 {c_green}{script formula 0} - [{script formula 0} + {script formula 1}]点奥术伤害{/c_green}。<br><br>消耗：{c_green}{resource cost} 点奥能{/c_green}
129243	Azmodan_LaserAttack	azmodan_laserattack	
133744	Azmodan_Melee	阿兹莫丹击退	
176046	Azmodan_onDeath		
123466	Azmodan_Phase3Channel		
211934	Azmodan_Taunt	阿兹莫丹嘲讽	
211856	Azmodan_Turning		
185040	BannerDrop		
234255	BannerDropPVP		
134334	Banter_Cooldown		
79242	Barbarian_Bash	猛击	{c_gold}生成：{/c} {c_green}{Resource Gained On First Hit}{/c} 点怒气<br><br>凶残地猛击单个敌人。
79076	Barbarian_BattleRage	战斗怒火	{c_gold}消耗：{/c_gold} {c_green}{Resource Cost}{/c_green} 点怒气<br><br>释放你内心的狂怒，使你所造成的伤害和暴击几率提高，持续 {c_green}{Script Formula 17}{/c_green} 秒。
80049	Barbarian_CallOfTheAncients	先祖召唤	{c_gold}冷却时间：{/c_gold} {c_green}[{Script Formula 16}]{/c_green} 秒<br><br>召唤3名先祖英雄与你并肩作战，持续 {c_green}{Script Formula 9}{/c_green} 秒。
187092	Barbarian_CallOfTheAncients_Basic_Melee	先祖近战	
168823	Barbarian_CallOfTheAncients_Cleave	先祖顺劈斩	
168824	Barbarian_CallOfTheAncients_FuriousCharge	狂暴冲撞	
168825	Barbarian_CallOfTheAncients_Leap	先祖腾空斩	
168827	Barbarian_CallOfTheAncients_SeismicSlam	先祖裂地斩	
168828	Barbarian_CallOfTheAncients_WeaponThrow	先祖武器飞掷	
168830	Barbarian_CallOfTheAncients_Whirlwind	先祖旋风斩	
80263	Barbarian_Cleave	顺劈斩	{c_gold}生成：{/c_gold} {c_green}{Resource Gained On First Hit}{/c_green} 点怒气<br><br>用武器挥出一个大弧，攻击多个敌人。
98878	Barbarian_Earthquake	地震	{c_gold}消耗：{/c_gold} {c_green}{Script Formula 21}{/c_green} 点怒气<br>{c_gold}冷却时间：{/c_gold} {c_green}[{Script Formula 8}]{/c_green} 秒<br><br>剧烈震颤大地，并对附近敌人造成伤害。
