SNO	Name	Type	Event type
221565	需要帮助的陌生人	Event	None
30850	躁怒沙漠	Event	None
433015	恶臭水道	Event	TimedDungeon
120396	崩裂密室	Event	None
153424	疯狂的攀爬者	Event	None
148860	战火铸就	Event	None
106221	等待支援	Event	None
409846	当心脚下	Event	TimedDungeon
74128	鲜血之城	MainQuest	None
57337	黑暗灵魂石	MainQuest	None
30864		Event	None
57339	谎言之王	MainQuest	None
72221	破损的王冠	MainQuest	None
72546	追踪巫师会	MainQuest	None
57331	皇室觐见	MainQuest	None
80322	沙漠魅影	MainQuest	None
101756	战争机器	MainQuest	None
121792	净化卡尔蒂姆	MainQuest	None
205337	防守医疗站	Event	None
207236	战争之潮	Event	None
152246	荣耀之焰	Event	None
436822	诅咒池塘	Event	None
447345	被诅咒的永恒宝箱	Event	None
77099	雷斯一家	Event	None
81925	清理食腐鸟	Event	None
225253	贾巴德的复仇	Event	None
87614	守护者之魂	Event	None
80128	崩塌之塔	Event	None
129801	药剂师的兄弟	Event	None
83314	领主夫人的尸骨	Event	None
84767	众魂罐	Event	None
153646	血脉相连	Event	None
121745	先祖的最终战役	Event	None
80590		Event	None
109638	拉卡尼休的圣坛	Event	None
154436	绝地营救	Event	None
154195	带领新兵	Event	None
168859	手动调节	Event	None
81766	Roadside Repair	Event	None
105496	献身的隐士	Event	None
104070	被抢走的剑鞘	Event	None
107098	珍贵的矿石	Event	None
106541	重振声誉	Event	None
158596	失落的坎·达卡布财宝	Event	None
158377	萨达尔的财宝	Event	None
107927	卡麦尔的囚犯	Event	None
112611	永恒之战	Event	None
30848	矿工的黄金	Event	None
114901	大魔神	MainQuest	None
114795	高塔之下	MainQuest	None
112498	高阶天堂的陨落	MainQuest	None
113910	希望之光	MainQuest	None
93396	通往阿尔卡纳斯之路	MainQuest	None
101758	罪恶之心	MainQuest	None
93697	被攻破的要塞	MainQuest	None
93595	要塞围攻	MainQuest	None
117779	奇异之人的剑	MainQuest	None
30857	雷格纳人偶	Event	None
72738	破损的剑刃	MainQuest	None
405695	大秘境试炼	Event	None
410418	地狱饲主巢穴	Event	TimedDungeon
409893	悬赏任务：清理遭围高塔二层	Bounty	None
409757	悬赏任务：消灭安度西亚	Bounty	None
409759	悬赏任务：消灭西莫瑞斯	Bounty	None
409753	悬赏任务：消灭感染者萨布诺克	Bounty	None
409755	悬赏任务：消灭梅尔法特·拜帕	Bounty	None
409884	悬赏任务：地狱饲主巢穴	Bounty	TimedDungeon
409895	悬赏任务：当心脚下	Bounty	None
409897	悬赏任务：诅咒讲台	Bounty	None
409888	悬赏任务：虫标	Bounty	None
409763	悬赏任务：消灭苍白骑手贝莱斯	Bounty	None
409765	悬赏任务：消灭灰烬恐魔	Bounty	None
409767	悬赏任务：消灭憎天	Bounty	None
409761	悬赏任务：消灭埃拉	Bounty	None
434753	临界点	Event	None
384641	他兄弟的守护者	Event	None
436499	检验你的实力	Event	None
453744	有毒的水源补给	Event	TimedDungeon
455272	崔斯特姆的黑化	Event	TimedDungeon
448445	肆虐的掘地魔	Event	None
448466	肆虐的掘地魔	Event	None
448481	肆虐的掘地魔	Event	None
448439	黑暗国王的遗产	Event	None
448451	黑暗国王的遗产	Event	None
448463	黑暗国王的遗产	Event	None
448475	黑暗国王的遗产	Event	None
448418	诅咒圣坛	Event	None
448448	诅咒圣坛	Event	None
448454	诅咒圣坛	Event	None
448460	诅咒圣坛	Event	None
448472	诅咒圣坛	Event	None
448484	诅咒圣坛	Event	None
